frame;label;measured;error;;;;;;
162;(359, 251);None;None;;;;;;
163;(359, 252);None;None;;;;;;
164;(360, 252);None;None;;;;;;
165;(361, 252);None;None;;;;;;
166;(362, 252);None;None;;;;;;
167;(363, 253);None;None;;;;;;
168;(364, 253);None;None;;;;;;
169;(365, 254);None;None;;;;;;
170;(366, 254);None;None;;;;;;
171;(367, 254);None;None;;;;;;
172;(368, 255);None;None;;;;;;
173;(368, 255);None;None;;;;;;
174;(369, 256);None;None;;;;;;
175;(370, 256);None;None;;;;;;
176;(371, 256);None;None;;;;;;
177;(372, 257);None;None;;;;;;
178;(372, 257);None;None;;;;;;
179;(373, 258);None;None;;;;;;
180;(374, 258);None;None;;;;;;
181;(375, 259);None;None;;;;;;
182;(376, 260);None;None;;;;;;
183;(378, 260);None;None;;;;;;
184;(379, 261);None;None;;;;;;
185;(380, 262);None;None;;;;;;
186;(383, 265);None;None;;;;;;
187;(386, 268);None;None;;;;;;
188;(389, 271);None;None;;;;;;
189;(392, 274);None;None;;;;;;
190;(395, 277);None;None;;;;;;
191;(396, 278);None;None;;;;;;
192;(397, 278);None;None;;;;;;
193;(399, 279);None;None;;;;;;
194;(400, 279);None;None;;;;;;
195;(401, 280);None;None;;;;;;
196;(402, 280);None;None;;;;;;
197;(402, 281);None;None;;;;;;
198;(403, 281);None;None;;;;;;
199;(403, 282);None;None;;;;;;
200;(404, 282);None;None;;;;;;
201;(405, 282);None;None;;;;;;
202;(406, 283);None;None;;;;;;
203;(407, 283);None;None;;;;;;
204;(408, 284);(415, 308);25;;;;;;
205;(409, 284);None;None;;;;;;
206;(409, 284);None;None;;;;;;
207;(410, 284);None;None;;;;;;
208;(410, 284);None;None;;;;;;
209;(411, 284);(417, 308);24.73863375;;;;;;
210;(411, 284);(416, 308);24.51530134;;;;;;
211;(411, 285);(416, 308);23.53720459;;;;;;
212;(411, 285);(417, 309);24.73863375;;;;;;
213;(412, 286);(417, 309);23.53720459;;;;;;
214;(412, 286);(417, 310);24.51530134;;;;;;
215;(412, 287);(417, 310);23.53720459;;;;;;
216;(412, 287);None;None;;;;;;
217;(413, 288);(416, 309);21.21320344;;;;;;
218;(413, 288);None;None;;;;;;
219;(414, 289);None;None;;;;;;
220;(414, 289);None;None;;;;;;
221;(414, 290);None;None;;;;;;
222;(414, 290);(417, 309);19.23538406;;;;;;
223;(415, 291);(417, 310);19.10497317;;;;;;
224;(415, 291);(417, 311);20.09975124;;;;;;
225;(416, 290);None;None;;;;;;
226;(416, 291);(418, 310);19.10497317;;;;;;
227;(416, 291);None;None;;;;;;
228;(417, 292);(418, 311);19.02629759;;;;;;
229;(417, 293);(419, 311);18.11077028;;;;;;
230;(420, 294);(421, 312);18.02775638;;;;;;
231;(421, 294);None;None;;;;;;
232;(421, 296);(422, 312);16.03121954;;;;;;
233;(420, 295);(422, 313);18.11077028;;;;;;
234;(421, 295);(422, 312);17.02938637;;;;;;
235;(421, 296);None;None;;;;;;
236;(421, 294);(422, 312);18.02775638;;;;;;
237;(420, 293);(421, 312);19.02629759;;;;;;
238;(420, 295);(422, 312);17.11724277;;;;;;
239;(421, 296);None;None;;;;;;
240;(421, 294);None;None;;;;;;
241;(420, 295);None;None;;;;;;
242;(421, 294);(422, 312);18.02775638;;;;;;
243;(420, 295);None;None;;;;;;
244;(419, 296);(421, 312);16.1245155;;;;;;
245;(420, 297);None;None;;;;;;
246;(421, 296);None;None;;;;;;
247;(420, 298);(421, 313);15.03329638;;;;;;
248;(420, 298);(421, 313);15.03329638;;;;;;
249;(421, 298);None;None;;;;;;
250;(420, 297);None;None;;;;;;
251;(420, 299);(420, 314);15;;;;;;
252;(420, 297);(420, 315);18;;;;;;
253;(420, 302);(420, 315);13;;;;;;
254;(419, 301);(420, 316);15.03329638;;;;;;
255;(419, 300);None;None;;;;;;
256;(419, 304);(419, 317);13;;;;;;
257;(418, 304);None;None;;;;;;
258;(419, 305);None;None;;;;;;
259;(420, 308);None;None;;;;;;
260;(420, 308);None;None;;;;;;
261;(419, 306);None;None;;;;;;
262;(420, 314);None;None;;;;;;
263;(420, 319);None;None;;;;;;
264;(419, 321);(420, 331);10.04987562;;;;;;
265;(418, 322);None;None;;;;;;
266;(419, 322);None;None;;;;;;
267;(418, 325);None;None;;;;;;
268;(419, 327);None;None;;;;;;
269;(418, 326);(417, 334);8.062257748;;;;;;
270;(418, 326);None;None;;;;;;
271;(417, 328);(416, 333);5.099019514;;;;;;
272;(417, 327);None;None;;;;;;
273;(418, 329);None;None;;;;;;
274;(416, 330);None;None;;;;;;
275;(416, 329);None;None;;;;;;
276;(415, 331);None;None;;;;;;
277;(416, 331);None;None;;;;;;
278;(415, 332);None;None;;;;;;
279;(415, 331);None;None;;;;;;
280;(415, 330);None;None;;;;;;
281;(416, 334);None;None;;;;;;
282;(413, 333);None;None;;;;;;
283;(413, 331);None;None;;;;;;
284;(415, 333);None;None;;;;;;
285;(413, 333);None;None;;;;;;
286;(413, 331);None;None;;;;;;
287;(414, 334);None;None;;;;;;
288;(413, 337);None;None;;;;;;
289;(413, 336);None;None;;;;;;
290;(412, 338);None;None;;;;;;
291;(413, 337);None;None;;;;;;
292;(411, 340);None;None;;;;;;
293;(411, 340);None;None;;;;;;
294;(410, 340);None;None;;;;;;
295;(410, 340);None;None;;;;;;
296;(410, 340);None;None;;;;;;
297;(409, 341);None;None;;;;;;
298;(409, 341);None;None;;;;;;
299;(408, 342);None;None;;;;;;
300;(408, 342);None;None;;;;;;
301;(408, 341);None;None;;;;;;
302;(407, 340);None;None;;;;;;
303;(407, 340);None;None;;;;;;
304;(406, 339);None;None;;;;;;
305;(406, 338);(406, 339);1;;;;;;
306;(405, 337);None;None;;;;;;
307;(405, 336);None;None;;;;;;
308;(404, 336);None;None;;;;;;
309;(404, 335);None;None;;;;;;
310;(403, 334);None;None;;;;;;
311;(402, 332);None;None;;;;;;
312;(401, 330);None;None;;;;;;
313;(399, 328);None;None;;;;;;
314;(398, 326);None;None;;;;;;
315;(397, 324);None;None;;;;;;
316;(397, 323);None;None;;;;;;
317;(396, 323);None;None;;;;;;
318;(396, 322);None;None;;;;;;
319;(395, 322);None;None;;;;;;
320;(395, 321);None;None;;;;;;
321;(394, 321);None;None;;;;;;
322;(393, 320);None;None;;;;;;
323;(393, 320);None;None;;;;;;
324;(392, 319);None;None;;;;;;
325;(391, 319);None;None;;;;;;
326;(390, 318);None;None;;;;;;
327;(389, 318);None;None;;;;;;
328;(389, 317);None;None;;;;;;
329;(388, 317);None;None;;;;;;
330;(387, 316);None;None;;;;;;
331;(386, 316);None;None;;;;;;
332;(385, 315);None;None;;;;;;
333;(384, 315);None;None;;;;;;
334;(383, 314);None;None;;;;;;
335;(382, 314);None;None;;;;;;
336;(381, 313);None;None;;;;;;
337;(380, 312);None;None;;;;;;
338;(378, 311);None;None;;;;;;
339;(377, 310);None;None;;;;;;
340;(376, 309);None;None;;;;;;
341;(375, 308);None;None;;;;;;
342;(373, 307);(372, 308);1.414213562;;;;;;
343;(372, 306);None;None;;;;;;
344;(370, 305);(369, 306);1.414213562;;;;;;
345;(369, 304);(368, 305);1.414213562;;;;;;
346;(367, 303);(366, 304);1.414213562;;;;;;
347;(365, 302);(365, 302);0;;;;;;
348;(364, 300);(363, 301);1.414213562;;;;;;
349;(362, 299);None;None;;;;;;
350;(360, 298);(360, 299);1;;;;;;
351;(358, 297);None;None;;;;;;
352;(357, 296);(357, 297);1;;;;;;
353;(355, 294);(355, 295);1;;;;;;
354;(354, 293);(353, 294);1.414213562;;;;;;
355;(352, 292);(351, 293);1.414213562;;;;;;
356;(350, 291);(348, 291);2;;;;;;
357;(347, 290);(346, 290);1;;;;;;
358;(345, 289);(344, 289);1;;;;;;
359;(342, 288);(342, 288);0;;;;;;
360;(340, 287);(340, 288);1;;;;;;
361;(337, 286);(338, 287);1.414213562;;;;;;
362;(335, 285);(336, 285);1;;;;;;
363;(332, 283);(334, 284);2.236067977;;;;;;
364;(330, 282);(332, 284);2.828427125;;;;;;
365;(327, 281);None;None;;;;;;
366;(323, 280);(324, 280);1;;;;;;
367;(319, 279);(322, 279);3;;;;;;
368;(315, 278);(319, 279);4.123105626;;;;;;
369;(311, 277);(315, 279);4.472135955;;;;;;
370;(307, 276);(307, 276);0;;;;;;
371;(304, 275);(301, 274);3.16227766;;;;;;
372;(301, 274);(299, 274);2;;;;;;
373;(299, 273);(296, 273);3;;;;;;
374;(296, 272);(294, 272);2;;;;;;
375;(293, 271);(292, 271);1;;;;;;
376;(291, 270);(290, 270);1;;;;;;
377;(289, 269);(288, 270);1.414213562;;;;;;
378;(286, 269);None;None;;;;;;
379;(284, 268);(284, 268);0;;;;;;
380;(282, 267);(281, 267);1;;;;;;
381;(279, 266);(280, 267);1.414213562;;;;;;
382;(277, 265);(278, 266);1.414213562;;;;;;
383;(274, 265);(276, 266);2.236067977;;;;;;
384;(272, 264);(273, 265);1.414213562;;;;;;
385;(269, 263);(269, 263);0;;;;;;
386;(267, 262);(267, 263);1;;;;;;
387;(265, 262);(265, 262);0;;;;;;
388;(264, 261);(263, 261);1;;;;;;
389;(262, 261);(261, 261);1;;;;;;
390;(260, 260);(259, 260);1;;;;;;
391;(258, 259);(257, 259);1;;;;;;
392;(256, 259);(255, 258);1.414213562;;;;;;
393;(253, 258);(253, 258);0;;;;;;
394;(251, 258);(251, 257);1;;;;;;
395;(249, 257);(249, 257);0;;;;;;
396;(247, 257);(247, 256);1;;;;;;
397;(245, 256);(245, 256);0;;;;;;
398;(244, 256);(243, 255);1.414213562;;;;;;
399;(242, 255);(241, 255);1;;;;;;
400;(240, 255);(240, 254);1;;;;;;
401;(237, 255);(238, 254);1.414213562;;;;;;
402;(233, 254);(236, 254);3;;;;;;
403;(230, 254);(234, 253);4.123105626;;;;;;
404;(226, 253);(229, 253);3;;;;;;
405;(223, 253);(223, 252);1;;;;;;
406;(221, 253);(221, 252);1;;;;;;
407;(220, 252);(220, 252);0;;;;;;
408;(218, 252);(218, 251);1;;;;;;
409;(217, 251);(216, 251);1;;;;;;
410;(215, 251);(214, 251);1;;;;;;
411;(214, 251);(213, 250);1.414213562;;;;;;
412;(213, 250);(212, 250);1;;;;;;
413;(211, 250);(211, 250);0;;;;;;
414;(210, 249);(210, 250);1;;;;;;
415;(209, 249);(209, 250);1;;;;;;
416;(208, 249);(208, 249);0;;;;;;
417;(207, 249);(207, 249);0;;;;;;
418;(206, 248);(206, 249);1;;;;;;
419;(205, 248);(205, 249);1;;;;;;
420;(204, 248);(204, 248);0;;;;;;
421;(203, 248);(203, 248);0;;;;;;
422;(202, 247);(202, 247);0;;;;;;
423;(202, 247);(201, 247);1;;;;;;
424;(201, 246);(200, 246);1;;;;;;
425;(200, 246);(200, 246);0;;;;;;
426;(200, 245);(199, 246);1.414213562;;;;;;
427;(199, 244);(199, 245);1;;;;;;
428;(199, 244);(198, 244);1;;;;;;
429;(198, 243);(198, 244);1;;;;;;
430;(198, 242);(198, 242);0;;;;;;
431;(199, 240);(198, 242);2.236067977;;;;;;
432;(199, 238);(198, 239);1.414213562;;;;;;
433;(200, 236);(200, 234);2;;;;;;
434;(200, 234);(201, 233);1.414213562;;;;;;
435;(201, 232);(201, 232);0;;;;;;
436;(201, 232);(201, 232);0;;;;;;
437;(201, 231);(201, 231);0;;;;;;
438;(201, 231);(201, 231);0;;;;;;
439;(201, 230);(201, 231);1;;;;;;
440;(201, 230);(200, 230);1;;;;;;
441;(201, 230);(200, 230);1;;;;;;
442;(200, 230);(199, 230);1;;;;;;
443;(200, 229);(199, 230);1.414213562;;;;;;
444;(199, 229);(199, 230);1;;;;;;
445;(199, 229);(199, 230);1;;;;;;
446;(199, 229);(199, 230);1;;;;;;
447;(199, 229);(199, 230);1;;;;;;
448;(198, 230);(198, 230);0;;;;;;
449;(198, 230);(198, 230);0;;;;;;
450;(198, 230);(198, 230);0;;;;;;
451;(198, 231);(198, 231);0;;;;;;
452;(197, 232);(198, 231);1.414213562;;;;;;
453;(197, 232);(198, 232);1;;;;;;
454;(196, 233);(198, 232);2.236067977;;;;;;
455;(196, 234);(197, 235);1.414213562;;;;;;
456;(195, 237);(193, 241);4.472135955;;;;;;
457;(194, 240);(192, 245);5.385164807;;;;;;
458;(193, 243);(191, 247);4.472135955;;;;;;
459;(192, 246);(191, 248);2.236067977;;;;;;
460;(191, 249);(191, 249);0;;;;;;
461;(191, 250);(190, 250);1;;;;;;
462;(191, 251);(190, 251);1;;;;;;
463;(190, 251);(190, 251);0;;;;;;
464;(190, 252);(190, 252);0;;;;;;
465;(190, 253);(190, 253);0;;;;;;
466;(190, 254);(189, 253);1.414213562;;;;;;
467;(190, 255);(189, 254);1.414213562;;;;;;
468;(189, 255);(189, 255);0;;;;;;
469;(189, 256);(189, 256);0;;;;;;
470;(189, 257);(189, 257);0;;;;;;
471;(189, 258);(188, 257);1.414213562;;;;;;
472;(188, 259);(188, 258);1;;;;;;
473;(188, 259);(188, 259);0;;;;;;
474;(187, 260);(188, 259);1.414213562;;;;;;
475;(187, 261);(187, 260);1;;;;;;
476;(187, 262);(187, 262);0;;;;;;
477;(187, 262);(187, 262);0;;;;;;
478;(187, 263);(187, 263);0;;;;;;
479;(187, 263);(187, 264);1;;;;;;
480;(187, 264);(187, 265);1;;;;;;
481;(186, 265);(186, 265);0;;;;;;
482;(186, 266);(186, 266);0;;;;;;
483;(185, 268);(186, 267);1.414213562;;;;;;
484;(185, 269);(186, 267);2.236067977;;;;;;
485;(184, 270);(184, 270);0;;;;;;
486;(183, 271);(181, 273);2.828427125;;;;;;
487;(182, 273);(180, 275);2.828427125;;;;;;
488;(182, 274);(180, 276);2.828427125;;;;;;
489;(181, 276);(179, 277);2.236067977;;;;;;
490;(180, 277);(179, 277);1;;;;;;
491;(180, 278);(179, 278);1;;;;;;
492;(180, 278);(179, 278);1;;;;;;
493;(179, 279);(179, 279);0;;;;;;
494;(179, 279);(179, 279);0;;;;;;
495;(179, 280);(179, 279);1;;;;;;
496;(179, 280);(179, 280);0;;;;;;
497;(179, 280);(179, 280);0;;;;;;
498;(180, 280);(179, 280);1;;;;;;
499;(180, 280);(179, 280);1;;;;;;
500;(180, 280);(179, 280);1;;;;;;
501;(180, 280);None;None;;;;;;
502;(180, 280);(179, 280);1;;;;;;
503;(181, 280);(179, 279);2.236067977;;;;;;
504;(181, 280);(180, 280);1;;;;;;
505;(181, 280);(181, 280);0;;;;;;
506;(182, 280);(181, 280);1;;;;;;
507;(183, 280);(181, 280);2;;;;;;
508;(183, 281);(182, 280);1.414213562;;;;;;
509;(184, 281);(183, 280);1.414213562;;;;;;
510;(185, 281);(184, 280);1.414213562;;;;;;
511;(186, 281);(185, 280);1.414213562;;;;;;
512;(187, 281);(186, 281);1;;;;;;
513;(187, 281);(187, 280);1;;;;;;
514;(188, 281);(188, 280);1;;;;;;
515;(189, 281);(189, 280);1;;;;;;
516;(190, 281);(190, 280);1;;;;;;
517;(192, 281);(192, 281);0;;;;;;
518;(193, 281);(193, 281);0;;;;;;
519;(195, 281);(194, 281);1;;;;;;
520;(196, 281);(195, 281);1;;;;;;
521;(197, 281);(196, 281);1;;;;;;
522;(198, 281);(197, 280);1.414213562;;;;;;
523;(200, 282);(198, 281);2.236067977;;;;;;
524;(201, 282);(200, 281);1.414213562;;;;;;
525;(202, 282);(202, 281);1;;;;;;
526;(203, 282);(203, 281);1;;;;;;
527;(205, 282);(204, 281);1.414213562;;;;;;
528;(206, 282);(205, 281);1.414213562;;;;;;
529;(208, 282);(207, 281);1.414213562;;;;;;
530;(209, 282);(209, 282);0;;;;;;
531;(210, 282);(210, 282);0;;;;;;
532;(212, 282);(212, 282);0;;;;;;
533;(213, 283);(213, 282);1;;;;;;
534;(215, 283);(215, 282);1;;;;;;
535;(216, 283);(216, 282);1;;;;;;
536;(218, 283);(218, 282);1;;;;;;
537;(220, 284);(220, 283);1;;;;;;
538;(222, 284);(222, 283);1;;;;;;
539;(224, 285);(224, 283);2;;;;;;
540;(226, 285);(226, 284);1;;;;;;
541;(228, 285);(228, 284);1;;;;;;
542;(230, 286);(230, 284);2;;;;;;
543;(232, 286);(232, 285);1;;;;;;
544;(234, 287);(234, 285);2;;;;;;
545;(236, 287);(235, 285);2.236067977;;;;;;
546;(238, 287);(237, 285);2.236067977;;;;;;
547;(240, 287);(239, 286);1.414213562;;;;;;
548;(241, 288);(241, 286);2;;;;;;
549;(243, 288);(243, 287);1;;;;;;
550;(245, 288);(245, 288);0;;;;;;
551;(247, 288);(247, 288);0;;;;;;
552;(249, 288);(249, 287);1;;;;;;
553;(252, 289);(252, 288);1;;;;;;
554;(254, 289);(254, 288);1;;;;;;
555;(256, 289);(257, 288);1.414213562;;;;;;
556;(258, 289);(258, 289);0;;;;;;
557;(260, 290);(260, 289);1;;;;;;
558;(262, 290);(262, 289);1;;;;;;
559;(264, 291);(264, 290);1;;;;;;
560;(266, 291);(266, 290);1;;;;;;
561;(269, 291);(271, 291);2;;;;;;
562;(272, 292);(273, 291);1.414213562;;;;;;
563;(274, 292);(275, 291);1.414213562;;;;;;
564;(277, 293);(277, 292);1;;;;;;
565;(280, 293);(279, 293);1;;;;;;
566;(283, 294);(281, 293);2.236067977;;;;;;
567;(287, 295);(283, 293);4.472135955;;;;;;
568;(290, 296);(285, 294);5.385164807;;;;;;
569;(294, 297);(291, 297);3;;;;;;
570;(297, 298);None;None;;;;;;
571;(299, 299);(298, 299);1;;;;;;
572;(301, 299);(300, 300);1.414213562;;;;;;
573;(302, 300);None;None;;;;;;
574;(304, 300);(303, 301);1.414213562;;;;;;
575;(306, 301);(304, 302);2.236067977;;;;;;
576;(307, 302);(306, 302);1;;;;;;
577;(309, 303);None;None;;;;;;
578;(310, 303);(309, 304);1.414213562;;;;;;
579;(312, 304);None;None;;;;;;
580;(313, 305);(312, 305);1;;;;;;
581;(314, 306);(314, 307);1;;;;;;
582;(316, 307);(316, 307);0;;;;;;
583;(317, 307);(317, 308);1;;;;;;
584;(319, 308);(319, 309);1;;;;;;
585;(320, 309);None;None;;;;;;
586;(322, 310);(321, 310);1;;;;;;
587;(324, 310);(323, 311);1.414213562;;;;;;
588;(325, 311);(324, 312);1.414213562;;;;;;
589;(327, 311);None;None;;;;;;
590;(329, 312);(328, 313);1.414213562;;;;;;
591;(331, 314);(334, 318);5;;;;;;
592;(334, 316);(338, 320);5.656854249;;;;;;
593;(336, 317);(338, 321);4.472135955;;;;;;
594;(339, 319);(340, 322);3.16227766;;;;;;
595;(341, 321);(341, 323);2;;;;;;
596;(342, 322);(342, 323);1;;;;;;
597;(343, 322);(343, 324);2;;;;;;
598;(345, 323);(345, 324);1;;;;;;
599;(346, 323);(346, 325);2;;;;;;
600;(347, 324);(347, 325);1;;;;;;
601;(348, 325);(349, 326);1.414213562;;;;;;
602;(349, 325);(349, 327);2;;;;;;
603;(351, 326);(350, 328);2.236067977;;;;;;
604;(352, 326);(351, 328);2.236067977;;;;;;
605;(353, 327);(352, 328);1.414213562;;;;;;
606;(354, 327);(353, 329);2.236067977;;;;;;
607;(355, 328);(354, 329);1.414213562;;;;;;
608;(355, 328);(355, 330);2;;;;;;
609;(356, 329);(356, 330);1;;;;;;
610;(357, 329);(356, 331);2.236067977;;;;;;
611;(358, 330);(357, 331);1.414213562;;;;;;
612;(358, 330);(358, 332);2;;;;;;
613;(359, 331);(358, 332);1.414213562;;;;;;
614;(359, 331);(359, 333);2;;;;;;
615;(360, 332);(360, 333);1;;;;;;
616;(361, 333);(360, 334);1.414213562;;;;;;
617;(362, 334);(361, 334);1;;;;;;
618;(364, 336);(361, 335);3.16227766;;;;;;
619;(365, 337);(362, 335);3.605551275;;;;;;
620;(366, 338);(366, 339);1;;;;;;
621;(367, 339);(369, 342);3.605551275;;;;;;
622;(368, 340);(370, 342);2.828427125;;;;;;
623;(370, 342);(370, 343);1;;;;;;
624;(371, 343);(370, 344);1.414213562;;;;;;
625;(372, 344);(371, 344);1;;;;;;
626;(372, 344);(371, 345);1.414213562;;;;;;
627;(372, 345);(372, 345);0;;;;;;
628;(373, 345);(372, 346);1.414213562;;;;;;
629;(373, 346);(372, 346);1;;;;;;
630;(373, 346);(372, 347);1.414213562;;;;;;
631;(373, 346);(373, 347);1;;;;;;
632;(374, 347);(373, 347);1;;;;;;
633;(374, 347);(373, 348);1.414213562;;;;;;
634;(375, 348);(374, 348);1;;;;;;
635;(375, 348);(374, 348);1;;;;;;
636;(375, 348);(374, 348);1;;;;;;
637;(375, 348);(374, 348);1;;;;;;
