frame,label,measured,error
345,"(369, 304)",None,None
346,"(367, 303)",None,None
347,"(365, 302)",None,None
348,"(364, 300)",None,None
349,"(362, 299)",None,None
350,"(360, 298)",None,None
351,"(358, 297)",None,None
352,"(357, 296)",None,None
353,"(355, 294)",None,None
354,"(354, 293)",None,None
355,"(352, 292)","(352, 293)",1.0
356,"(350, 291)","(346, 290)",4.123105625617661
357,"(347, 290)","(347, 290)",0.0
358,"(345, 289)",None,None
359,"(342, 288)","(343, 288)",1.0
360,"(340, 287)","(339, 288)",1.4142135623730951
361,"(337, 286)","(339, 286)",2.0
362,"(335, 285)",None,None
363,"(332, 283)",None,None
364,"(330, 282)","(132, 127)",251.45377308761942
365,"(327, 281)",None,None
366,"(323, 280)",None,None
367,"(319, 279)",None,None
368,"(315, 278)","(322, 279)",7.0710678118654755
369,"(311, 277)","(313, 279)",2.8284271247461903
370,"(307, 276)","(307, 277)",1.0
371,"(304, 275)","(600, 219)",301.2507261402037
372,"(301, 274)","(299, 274)",2.0
373,"(299, 273)","(116, 121)",237.89283301520456
374,"(296, 272)","(295, 272)",1.0
375,"(293, 271)","(292, 272)",1.4142135623730951
376,"(291, 270)","(290, 271)",1.4142135623730951
377,"(289, 269)","(288, 269)",1.0
378,"(286, 269)","(286, 269)",0.0
379,"(284, 268)","(284, 268)",0.0
380,"(282, 267)","(282, 266)",1.0
381,"(279, 266)","(280, 267)",1.4142135623730951
382,"(277, 265)","(278, 266)",1.4142135623730951
383,"(274, 265)","(275, 267)",2.23606797749979
384,"(272, 264)","(273, 266)",2.23606797749979
385,"(269, 263)","(269, 265)",2.0
386,"(267, 262)","(267, 264)",2.0
387,"(265, 262)","(267, 260)",2.8284271247461903
388,"(264, 261)","(263, 262)",1.4142135623730951
389,"(262, 261)","(261, 261)",1.0
390,"(260, 260)","(260, 260)",0.0
391,"(258, 259)","(258, 259)",0.0
392,"(256, 259)","(256, 258)",1.0
393,"(253, 258)","(253, 258)",0.0
394,"(251, 258)","(251, 258)",0.0
395,"(249, 257)","(250, 256)",1.4142135623730951
396,"(247, 257)","(247, 257)",0.0
397,"(245, 256)","(245, 256)",0.0
398,"(244, 256)","(243, 255)",1.4142135623730951
399,"(242, 255)","(241, 255)",1.0
400,"(240, 255)","(240, 255)",0.0
401,"(237, 255)","(238, 254)",1.4142135623730951
402,"(233, 254)","(236, 254)",3.0
403,"(230, 254)","(234, 254)",4.0
404,"(226, 253)","(229, 254)",3.1622776601683795
405,"(223, 253)","(224, 252)",1.4142135623730951
406,"(221, 253)","(221, 252)",1.0
407,"(220, 252)","(220, 252)",0.0
408,"(218, 252)","(218, 251)",1.0
409,"(217, 251)","(216, 251)",1.0
410,"(215, 251)","(214, 251)",1.0
411,"(214, 251)","(213, 248)",3.1622776601683795
412,"(213, 250)","(212, 251)",1.4142135623730951
413,"(211, 250)","(211, 250)",0.0
414,"(210, 249)","(210, 248)",1.0
415,"(209, 249)","(209, 250)",1.0
416,"(208, 249)","(208, 250)",1.0
417,"(207, 249)","(207, 250)",1.0
418,"(206, 248)","(206, 250)",2.0
419,"(205, 248)","(204, 247)",1.4142135623730951
420,"(204, 248)","(204, 248)",0.0
421,"(203, 248)","(202, 246)",2.23606797749979
422,"(202, 247)","(202, 248)",1.0
423,"(202, 247)","(201, 247)",1.0
424,"(201, 246)","(200, 247)",1.4142135623730951
425,"(200, 246)","(200, 247)",1.0
426,"(200, 245)","(199, 247)",2.23606797749979
427,"(199, 244)","(199, 246)",2.0
428,"(199, 244)","(199, 245)",1.0
429,"(198, 243)","(198, 242)",1.0
430,"(198, 242)","(198, 244)",2.0
431,"(199, 240)","(198, 242)",2.23606797749979
432,"(199, 238)","(198, 238)",1.0
433,"(200, 236)","(200, 234)",2.0
434,"(200, 234)","(201, 233)",1.4142135623730951
435,"(201, 232)","(201, 233)",1.0
436,"(201, 232)","(201, 232)",0.0
437,"(201, 231)","(201, 231)",0.0
438,"(201, 231)","(201, 231)",0.0
439,"(201, 230)","(201, 231)",1.0
440,"(201, 230)","(200, 230)",1.0
441,"(201, 230)","(200, 230)",1.0
442,"(200, 230)","(200, 230)",0.0
443,"(200, 229)","(199, 230)",1.4142135623730951
444,"(199, 229)","(199, 230)",1.0
445,"(199, 229)","(199, 230)",1.0
446,"(199, 229)","(199, 230)",1.0
447,"(199, 229)","(199, 230)",1.0
448,"(198, 230)","(199, 230)",1.0
449,"(198, 230)","(198, 230)",0.0
450,"(198, 230)","(198, 231)",1.0
451,"(198, 231)","(198, 231)",0.0
452,"(197, 232)","(198, 231)",1.4142135623730951
453,"(197, 232)","(198, 232)",1.0
454,"(196, 233)","(198, 233)",2.0
455,"(196, 234)","(197, 235)",1.4142135623730951
456,"(195, 237)","(193, 241)",4.47213595499958
457,"(194, 240)","(192, 246)",6.324555320336759
458,"(193, 243)","(191, 245)",2.8284271247461903
459,"(192, 246)","(191, 249)",3.1622776601683795
460,"(191, 249)","(191, 250)",1.0
461,"(191, 250)","(190, 250)",1.0
462,"(191, 251)","(190, 249)",2.23606797749979
463,"(190, 251)","(190, 250)",1.0
464,"(190, 252)","(189, 250)",2.23606797749979
465,"(190, 253)","(190, 253)",0.0
466,"(190, 254)","(189, 254)",1.0
467,"(190, 255)","(189, 255)",1.0
468,"(189, 255)","(189, 255)",0.0
469,"(189, 256)","(189, 256)",0.0
Total Frames,Total Measurements,Failed,Average Error
470,297,173,34.5170014824175
